income,credit_score,loan_amount,job_experience,assets_value,existing_loan_amount,approval
56557,729,681569,16,9452779,764794,1
46032,592,2908874,23,6783342,0,0
117154,691,2368270,30,589447,0,1
36676,668,371924,12,2215243,66576,1
293736,556,2745016,32,2155451,0,1
43730,408,2599415,19,3598288,147206,1
79491,707,3857963,16,2529955,192189,1
51830,591,2630992,26,112240,0,1
35821,626,8669215,31,7160895,0,0
144374,764,1728287,3,1290573,114702,1
76663,611,119709,23,8343531,1282785,1
71442,592,1942593,20,474292,461852,1
64357,710,8883130,16,203632,3344677,0
189894,532,1110025,26,23863342,496004,1
72229,779,3845719,12,914517,184866,1
59680,824,9400514,10,7189286,442470,0
78238,651,363012,34,323730,186239,1
343873,656,8553453,26,1613653,501470,1
30675,839,116756,3,1274325,4627311,1
277072,724,6655329,25,7221320,43677,1
178531,888,6753903,35,13000338,64424,1
48765,889,1504900,30,2313505,130552,1
53764,663,443504,0,4235615,0,1
40455,621,124897,25,229510,155559,1
140778,807,3752034,14,5982871,81513,1
41965,350,5728300,22,4243754,0,0
88238,819,2138766,32,2698620,197942,1
49931,778,127688,21,8658580,0,1
33641,582,9532373,0,407628,1293574,0
119483,810,5677100,10,8129924,0,1
118296,638,8278390,0,23584228,504195,1
44008,805,1771881,20,7742697,872492,1
58870,770,453571,1,7422415,639459,1
79532,722,2228894,13,186213,0,1
108490,307,5552622,11,2256992,3067866,0
44110,582,307526,28,358400,0,1
65669,811,835291,14,9065456,0,1
177192,722,487004,15,409924,0,1
113063,869,226093,33,419618,147461,1
95835,598,4079101,12,379178,0,1
32036,606,2776439,17,21271966,0,1
99355,546,280653,24,209939,61934,1
50892,618,3592114,1,1166844,1313713,0
75553,307,216454,21,2295525,655141,1
44281,486,1388667,35,22879438,475591,1
61301,834,2270213,2,220950,484145,1
151865,585,535353,16,251024,0,1
46193,790,1172974,32,20149759,310983,1
252216,708,3173488,29,7839458,2357021,1
83117,781,314968,12,1890433,218575,1
40499,585,2448456,0,23931058,3203265,1
34418,888,871695,26,491399,0,1
70704,368,8637302,16,6327973,1059294,0
49821,832,2538680,18,2912288,1851953,1
64677,532,3927061,18,222552,141725,0
41634,709,1412310,9,3416667,618959,1
85397,322,723678,5,96181,1426459,0
34803,790,1663860,12,108489,67151,1
40970,656,3049033,30,3465673,0,1
40652,770,9916656,14,23605754,1897068,1
111209,877,870450,33,9478682,14303,1
102548,555,379935,20,19362792,0,1
68140,698,4303503,18,229916,176648,0
35752,760,1641082,34,1741761,595659,1
36677,845,237223,6,16169434,165563,1
34070,737,8579097,26,12263028,335944,1
30887,668,1017881,26,2538288,0,1
62580,388,357928,14,639031,89041,1
46628,816,2293133,22,2540910,3490146,1
190203,808,213300,0,1848945,130103,1
73536,486,215432,9,17238035,0,1
47999,677,478704,2,1811142,0,1
42892,897,2571193,18,4925651,866915,1
195501,868,7794725,26,14428221,0,1
32600,652,6091605,19,1667635,0,0
484120,522,9839352,1,166595,0,1
61747,633,847953,0,293090,136180,0
91623,618,2202390,32,1901115,689781,1
33857,750,9621410,27,3377818,4952955,0
37334,897,1310942,10,21949252,70313,1
56048,314,346794,24,187268,142552,1
35979,781,1850713,27,853651,350346,1
62268,717,8931107,29,409991,166487,0
115112,659,7029603,2,21337479,41799,1
50381,640,5819255,8,12042342,4297643,1
67728,800,408669,12,165709,1332352,1
31971,898,903714,14,13467012,0,1
144105,660,1269130,22,15664831,0,1
44806,448,9723905,13,8354896,3184320,0
168339,690,3402075,19,9027358,215274,1
58356,611,559232,27,8129694,203705,1
41761,643,3341783,16,1764681,1447425,0
190585,471,2342106,12,253824,1263196,0
127041,870,1679032,25,391344,0,1
56248,663,5749901,10,19718016,848024,1
90175,390,2250506,8,1242264,459257,1
57836,364,736986,5,6476134,0,1
92639,649,1791925,14,274454,1751365,0
36441,629,8590103,33,164635,1779531,0
146900,480,5732905,2,14564266,1717227,1
32853,531,139068,4,429195,1364451,0
168685,722,1757299,3,1483909,0,1
52497,688,1144370,2,4817181,0,1
60361,730,2464378,17,16984749,329814,1
45744,896,168351,10,2324706,477691,1
37934,566,7247021,1,3848350,675799,0
117838,866,1673627,29,4005829,1873433,1
87125,808,7694479,4,173471,1907574,0
49187,684,534397,18,1907356,166862,1
49671,565,6515163,8,20572261,1531899,1
110355,843,1008625,13,3166227,0,1
53330,761,2524970,30,1039247,55357,1
39968,766,2073834,23,248644,1925496,0
32953,597,4403242,11,2816628,0,0
46770,326,3819824,19,3673304,1889866,0
80194,758,4465452,23,219781,0,1
87822,795,1096515,13,9749783,21637,1
62544,859,5239394,11,95448,0,0
44318,718,1396448,19,5699704,1495124,1
138907,564,8144797,25,203277,156824,1
163284,775,2716463,28,170941,0,1
58279,888,658132,32,307302,150012,1
