income,credit_score,loan_amount,job_experience,assets_value,existing_loan_amount,approval
138382,845,8952308,20,14336312,2723960,1
197199,576,2275844,17,364958,230421,1
132751,536,3058646,20,11967206,4031461,1
257050,691,3341835,21,10706262,4132021,1
82191,306,7807173,34,17826189,2902065,1
203833,899,8100280,7,22860965,711848,1
51232,892,8834852,16,6159996,2540684,0
284305,304,4755262,26,23024699,572323,1
183931,633,1202502,34,11077981,3175100,1
83325,532,1586380,7,21090639,4752669,1
38600,800,5810920,2,22927700,4076266,1
122528,699,5805196,21,9764380,4388865,1
43711,496,5527382,33,98927,4082717,0
140234,365,9152205,33,13427384,711953,1
97730,451,4235055,14,8304931,2772528,0
262049,384,8573121,1,22752137,1408117,1
85767,686,7721206,21,22848150,1231529,1
37044,523,5157856,6,2219854,1023194,0
263253,599,6785384,0,23006692,2199552,1
121288,480,5168777,21,16987403,3619554,1
253242,597,9263283,32,4625458,4481587,0
288979,815,4481068,28,17804443,733686,1
47100,827,1310739,3,18394297,2298194,1
227384,615,7910208,6,21947435,2547490,1
45835,868,7561833,23,7913556,3628378,0
78638,882,1956310,14,3864967,3922425,1
65537,621,6510269,27,23421354,4506188,1
48905,860,6010538,8,163387,2739729,0
283319,635,6959712,27,24130723,3074084,1
225321,792,3611051,27,7189160,4729285,1
94781,421,8823933,6,15841780,4942481,1
190693,370,3355906,24,22718401,3106174,1
60829,370,3439718,5,14645811,4034237,1
290175,784,1298695,21,14705564,243611,1
40885,449,3279328,13,24116522,2236653,1
80911,799,4557357,5,2649930,3954869,1
165008,406,8867028,26,5470768,2232636,0
248552,470,9485763,28,20985152,1341965,1
76533,639,2426309,2,17982456,2227681,1
198422,852,7538191,33,24396642,645175,1
57765,556,165522,13,9423963,4993255,1
143234,805,3728644,23,20943968,2396883,1
257199,399,2179921,14,622070,1894464,0
175028,676,5223010,30,3634342,3725142,1
227589,320,3963479,6,1891455,3710769,0
241674,873,2334324,20,14023877,67373,1
283784,796,8083660,30,16670925,3007905,1
77633,707,7798016,34,15800127,525679,1
128292,632,9361001,32,6538404,3055063,0
227251,721,8843058,9,5754001,4768987,1
227147,566,493063,31,6963574,1670547,1
133280,762,3042999,14,840828,1794074,1
155105,353,7639228,3,7082226,3746419,0
63470,583,6854402,35,19033586,1451001,1
150341,812,9541783,6,7056429,2006541,0
288179,433,2405655,33,20928386,4719292,1
62230,430,2976371,28,12910350,2080231,1
274437,308,5122184,4,1673764,2431352,0
188960,615,2624477,35,19224005,660458,1
298282,539,1884593,29,23140760,4096007,1
94598,655,7289223,12,11880802,4749515,1
165416,624,392795,21,17614882,1986741,1
67418,402,8322750,30,20214768,2609209,1
241213,385,6388627,7,6081633,313663,1
294110,588,9169550,17,13384089,4105379,1
295363,304,8280737,23,12821512,1558711,1
105571,480,5467117,32,9702320,633099,1
169144,669,435450,17,8920985,2093084,1
209788,879,4511417,16,8544285,96597,1
166188,379,1770811,21,11615025,2996128,1
210067,708,1014884,14,484909,2662131,1
153859,544,5593425,24,19812450,1803190,1
258706,776,9327657,1,62085,1656804,1
97375,350,202962,23,23084622,4026066,1
90712,788,273837,31,19431145,2507694,1
185439,648,8143527,29,16054194,3267401,1
168143,775,2464976,8,9155558,4899182,1
193728,498,627028,23,2874586,4938303,0
198897,392,9258040,31,3429305,149468,0
278547,301,3382041,15,9188707,1365029,1
76421,748,3386183,24,3122124,867617,1
113664,663,5911036,7,17201664,135779,1
238965,873,5351399,17,8229763,1514328,1
197436,560,3793020,2,17237329,201731,1
225888,845,3699763,17,16532907,210854,1
150740,824,7657380,3,18644221,4832890,1
51620,899,546112,16,10678584,4196758,1
109140,723,3632159,10,5674584,602739,1
44159,675,7317548,15,10668219,129541,1
67939,849,8517704,28,15284713,1914269,1
266596,900,9721299,11,10897015,2061248,1
210338,432,5060185,28,958558,3890588,0
284652,686,9454309,10,23666877,4206494,1
223278,823,5155973,21,828249,1116267,1
148078,322,2154141,32,3346445,3131025,0
139575,818,1356422,19,14249709,2041948,1
211267,788,8493951,34,17373852,4438737,1
163784,808,827191,15,14585211,4523080,1
148030,356,400806,4,13703918,4152955,1
116965,399,3980198,10,5613400,4501009,0
91580,700,232007,15,13578127,3547085,1
104381,564,2842523,33,22773439,4175776,1
31548,852,5161711,14,8284607,2971952,0
267083,896,5013280,23,23667444,57023,1
222867,841,1368930,3,5199914,1292770,1
102696,401,1849736,21,4499407,2868435,0
181500,732,9976125,6,11899389,1858723,1
220430,380,9787620,33,21951741,1147471,1
56851,334,3855209,2,20993601,2861639,1
44615,455,2569488,26,11792449,2370745,1
72421,685,3087036,35,11414420,2231541,1
259078,880,7437005,0,3614948,3063230,1
49293,853,7157936,13,24970693,3240169,1
267043,349,187138,26,24050663,2548926,1
97818,363,5250088,23,5586928,1516516,0
220352,710,1143420,27,18333769,156232,1
159559,474,8370018,23,17246437,2683448,1
52005,874,4786103,5,17274675,1719155,1
297561,422,1363574,12,2465084,3956094,0
123118,340,9302043,17,14657623,2367671,1
141662,894,783889,12,19449881,2321264,1
285047,571,7732549,17,21242322,977147,1
82276,711,9306277,30,15622042,3596955,1
265130,507,9765164,12,19184950,279797,1
60640,727,3386550,18,4908221,333767,1
50934,509,3845967,6,22891508,3532102,1
136763,363,7555555,34,2741106,3181069,0
277606,435,6654819,17,19652427,3965661,1
214122,562,4906776,21,11479121,1757953,1
298526,788,170042,9,3699924,4503233,1
232664,314,3555507,23,14561486,4670237,1
121408,653,8845948,16,8766297,4184554,0
94699,497,8386883,16,11298761,4676474,1
81951,851,3717686,31,8910128,2835587,1
149521,429,8603550,5,1477024,1097982,0
114471,762,811881,20,11741211,3452730,1
207564,505,3774925,33,15807198,4728884,1
110287,866,1777996,3,2502031,2954827,1
276407,523,7920729,25,3537963,4521244,0
235579,857,394020,33,12694750,1363886,1
39235,709,9154195,8,20324156,4607461,1
127313,390,384900,20,18556090,1979198,1
52321,818,1957241,27,10424048,4489820,1
52908,571,8584961,29,4645537,4051123,0
213905,449,3540648,28,9686409,595521,1
47093,703,1024423,3,6481927,570908,1
30462,829,5362451,8,23976196,812899,1
169540,890,6664800,20,11002245,2133855,1
130284,508,5967126,19,7620037,4325371,0
263875,375,2012343,1,14550015,2778814,1
266814,709,3815243,21,15763376,2173968,1
159755,485,9271262,1,5497051,972427,0
91785,315,9009876,27,21240604,2125087,1
67410,663,4384904,12,7298091,1573866,0
135386,361,5697116,4,5572785,3314287,0
